"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","542","@smoke Wishlist page accessible","chromium","2026-04-28","passed","2026-04-28","Smoke Tests - Critical Path Validation","smoke/smoke.spec.js","",""
"","560","@functional Verify categories are displayed","chromium","2026-04-28","failed","2026-04-28","Homepage Tests","functional/homepage.spec.js","",""
"","431","@smoke Register page accessible","chromium","2026-04-28","passed","2026-04-28","Smoke Tests - Critical Path Validation","smoke/smoke.spec.js","",""
"","16493","@functional Navigate to Electronics category","chromium","2026-04-28","failed","2026-04-28","Homepage Tests","functional/homepage.spec.js","",""
"","16556","@smoke Category navigation works","chromium","2026-04-28","failed","2026-04-28","Smoke Tests - Critical Path Validation","smoke/smoke.spec.js","",""
"","16287","@functional Add to wishlist from search results","chromium","2026-04-28","failed","2026-04-28","Wishlist Tests","functional/wishlist.spec.js","",""
"","493","@functional View HTC smartphone product","chromium","2026-04-28","passed","2026-04-28","Product Browsing Tests","functional/productBrowsing.spec.js","",""
"","502","@functional Click continue shopping returns to homepage","chromium","2026-04-28","passed","2026-04-28","Shopping Cart Tests","functional/shoppingCart.spec.js","",""
"","524","@security HTTPS on homepage","chromium","2026-04-28","passed","2026-04-28","Security Tests","security/security.spec.js","",""
"","585","@functional Verify empty cart message","chromium","2026-04-28","failed","2026-04-28","Shopping Cart Tests","functional/shoppingCart.spec.js","",""
"","491","@performance Measure API response time for product listing","chromium","2026-04-28","passed","2026-04-28","Performance Tests","performance/performance.spec.js","",""
"","16534","@functional Remove product from wishlist","chromium","2026-04-28","failed","2026-04-28","Wishlist Tests","functional/wishlist.spec.js","",""
"","16487","@smoke Login with valid credentials","chromium","2026-04-28","failed","2026-04-28","User Authentication Tests","functional/userAuth.spec.js","",""
"","16475","@functional Forgot password link works","chromium","2026-04-28","failed","2026-04-28","User Authentication Tests","functional/userAuth.spec.js","",""
"","16457","@smoke Search functionality works","chromium","2026-04-28","failed","2026-04-28","Smoke Tests - Critical Path Validation","smoke/smoke.spec.js","",""
"","448","@security HTTPS on register page","chromium","2026-04-28","passed","2026-04-28","Security Tests","security/security.spec.js","",""
"","16507","@functional Register page gender selection","chromium","2026-04-28","failed","2026-04-28","User Authentication Tests","functional/userAuth.spec.js","",""
"","564","@functional Verify Twitter link is visible","chromium","2026-04-28","failed","2026-04-28","Navigation Tests","functional/navigation.spec.js","",""
"","16468","@security Password masked in registration","chromium","2026-04-28","failed","2026-04-28","Security Tests","security/security.spec.js","",""
"","16470","@functional Navigate from register to login page","chromium","2026-04-28","failed","2026-04-28","User Authentication Tests","functional/userAuth.spec.js","",""
"","16501","@functional Navigate to privacy notice","chromium","2026-04-28","failed","2026-04-28","Navigation Tests","functional/navigation.spec.js","",""
"","564","@functional Verify empty cart has no checkout button","chromium","2026-04-28","passed","2026-04-28","Shopping Cart Tests","functional/shoppingCart.spec.js","",""
"","16459","@smoke Navigate to product from search results","chromium","2026-04-28","failed","2026-04-28","Search Functionality Tests","functional/search.spec.js","",""
"","16283","@security Password masked in login","chromium","2026-04-28","failed","2026-04-28","Security Tests","security/security.spec.js","",""
"","560","@smoke View product details - Build your own computer","chromium","2026-04-28","passed","2026-04-28","Product Browsing Tests","functional/productBrowsing.spec.js","",""
"","16451","@functional Click on featured product navigates to product page","chromium","2026-04-28","failed","2026-04-28","Homepage Tests","functional/homepage.spec.js","",""
"","514","@functional View Apple MacBook Pro product","chromium","2026-04-28","passed","2026-04-28","Product Browsing Tests","functional/productBrowsing.spec.js","",""
"","601","@functional Verify search box is visible","chromium","2026-04-28","failed","2026-04-28","Homepage Tests","functional/homepage.spec.js","",""
"","16545","@functional Verify checkout page loads","chromium","2026-04-28","failed","2026-04-28","Checkout Process Tests","functional/checkout.spec.js","",""
"","16482","@smoke Register new user with valid data","chromium","2026-04-28","failed","2026-04-28","User Authentication Tests","functional/userAuth.spec.js","",""
"","16509","@functional Add product to wishlist from product page","chromium","2026-04-28","failed","2026-04-28","Wishlist Tests","functional/wishlist.spec.js","",""
"","568","@functional Verify add to cart button is visible","chromium","2026-04-28","failed","2026-04-28","Product Browsing Tests","functional/productBrowsing.spec.js","",""
"","16450","@smoke Add product to cart from product page","chromium","2026-04-28","failed","2026-04-28","Shopping Cart Tests","functional/shoppingCart.spec.js","",""
